series_index,n,data_mode,bst_insert_total_s_mean,bst_insert_total_s_std,avl_insert_total_s_mean,avl_insert_total_s_std,bst_search_per_op_s_mean,bst_search_per_op_s_std,avl_search_per_op_s_mean,avl_search_per_op_s_std,array_search_per_op_s_mean,array_search_per_op_s_std,bst_delete_per_op_s_mean,bst_delete_per_op_s_std,avl_delete_per_op_s_mean,avl_delete_per_op_s_std
1,1024,random,0.0056051998399198055,0.0,0.021142400102689862,0.0,1.6680010594427586e-06,0.0,1.3109995052218437e-06,0.0,3.068799851462245e-05,0.0,2.3099989630281927e-06,0.0,1.4800999779254198e-05,0.0
1,1024,sorted,0.09068759996443987,0.0,0.019143400015309453,0.0,6.153499940410256e-05,0.0,1.4570006169378758e-06,0.0,1.6135999467223882e-05,0.0,8.888799929991364e-05,0.0,1.819999888539314e-05,0.0
2,2048,random,0.007613199995830655,0.0,0.053366600070148706,0.0,2.708001993596554e-06,0.0,1.5849992632865907e-06,0.0,5.998400039970875e-05,0.0,3.165001980960369e-06,0.0,1.8720000516623257e-05,0.0
2,2048,sorted,0.3700833001639694,0.0,0.03910819999873638,0.0,0.00014245899859815836,0.0,1.6689999029040337e-06,0.0,3.176900092512369e-05,0.0,0.00014803200028836727,0.0,1.724099973216653e-05,0.0
