series_index,n,data_mode,cycle_index,bst_insert_total_s,bst_search_total_s,bst_search_per_op_s,bst_delete_total_s,bst_delete_per_op_s,avl_insert_total_s,avl_search_total_s,avl_search_per_op_s,avl_delete_total_s,avl_delete_per_op_s,array_search_total_s,array_search_per_op_s
1,1024,random,1,0.0056051998399198055,0.00016680010594427586,1.6680010594427586e-06,0.00023099989630281925,2.3099989630281927e-06,0.021142400102689862,0.00013109995052218437,1.3109995052218437e-06,0.0014800999779254198,1.4800999779254198e-05,0.003068799851462245,3.068799851462245e-05
1,1024,sorted,2,0.09068759996443987,0.006153499940410256,6.153499940410256e-05,0.008888799929991364,8.888799929991364e-05,0.019143400015309453,0.00014570006169378757,1.4570006169378758e-06,0.0018199998885393143,1.819999888539314e-05,0.0016135999467223883,1.6135999467223882e-05
2,2048,random,1,0.007613199995830655,0.0002708001993596554,2.708001993596554e-06,0.0003165001980960369,3.165001980960369e-06,0.053366600070148706,0.00015849992632865906,1.5849992632865907e-06,0.0018720000516623259,1.8720000516623257e-05,0.005998400039970875,5.998400039970875e-05
2,2048,sorted,2,0.3700833001639694,0.014245899859815836,0.00014245899859815836,0.014803200028836727,0.00014803200028836727,0.03910819999873638,0.00016689999029040337,1.6689999029040337e-06,0.0017240999732166529,1.724099973216653e-05,0.003176900092512369,3.176900092512369e-05
