series_index,n,data_mode,cycle_index,bst_insert_total_s,bst_search_total_s,bst_search_per_op_s,bst_delete_total_s,bst_delete_per_op_s,avl_insert_total_s,avl_search_total_s,avl_search_per_op_s,avl_delete_total_s,avl_delete_per_op_s,array_search_total_s,array_search_per_op_s
2,2048,sorted,17,0.004659167,4.2e-08,4.2e-11,0.004360792,4.360792e-06,0.000139125,4.1e-08,4.1e-11,0.000146125,1.46125e-07,0,0
2,2048,sorted,18,0.003859459,4.1e-08,4.1e-11,0.0039475,3.9475e-06,0.000132667,4.2e-08,4.2e-11,0.000148042,1.48042e-07,0,0
2,2048,sorted,19,0.004776084,4.1e-08,4.1e-11,0.004389625,4.389625e-06,0.000136,0,0,0.000147083,1.47083e-07,4.1e-08,4.1e-11
2,2048,sorted,20,0.003724667,4.2e-08,4.2e-11,0.004073084,4.073084e-06,0.000136292,0,0,0.000149542,1.49542e-07,4.2e-08,4.2e-11
3,4096,random,1,0.00037225,0,0,0.000119583,1.19583e-07,0.00053775,4.1e-08,4.1e-11,0.000159417,1.59417e-07,4.2e-08,4.2e-11
3,4096,random,2,0.000356292,4.2e-08,4.2e-11,0.000116584,1.16584e-07,0.000520916,4.2e-08,4.2e-11,0.000155791,1.55791e-07,0,0
3,4096,random,3,0.000349167,4.1e-08,4.1e-11,0.000113375,1.13375e-07,0.000517541,0,0,0.000157417,1.57417e-07,4.1e-08,4.1e-11
3,4096,random,4,0.000370083,4.2e-08,4.2e-11,0.000125541,1.25541e-07,0.000514,0,0,0.000157917,1.57917e-07,4.2e-08,4.2e-11
3,4096,random,5,0.000352292,0,0,0.000124375,1.24375e-07,0.000517083,4.2e-08,4.2e-11,0.0001565,1.565e-07,4.2e-08,4.2e-11
3,4096,random,6,0.000348208,4.1e-08,4.1e-11,0.000119625,1.19625e-07,0.00051875,4.2e-08,4.2e-11,0.000155708,1.55708e-07,0,0
3,4096,random,7,0.000378625,4.1e-08,4.1e-11,0.000114875,1.14875e-07,0.000526291,0,0,0.000153625,1.53625e-07,4.1e-08,4.1e-11
3,4096,random,8,0.000361167,4.2e-08,4.2e-11,0.000120458,1.20458e-07,0.000518959,0,0,0.000159458,1.59458e-07,4.2e-08,4.2e-11
3,4096,random,9,0.000359875,4.1e-08,4.1e-11,0.000139542,1.39542e-07,0.000520458,0,0,0.000156875,1.56875e-07,4.1e-08,4.1e-11
3,4096,random,10,0.000370208,4.2e-08,4.2e-11,0.000118333,1.18333e-07,0.000529625,4.1e-08,4.1e-11,0.000157083,1.57083e-07,4.2e-08,4.2e-11
3,4096,sorted,11,0.01517075,4.2e-08,4.2e-11,0.009352292,9.352292e-06,0.000279875,0,0,0.000160458,1.60458e-07,4.2e-08,4.2e-11
3,4096,sorted,12,0.017016959,4.1e-08,4.1e-11,0.009826541,9.826541e-06,0.00027875,4.2e-08,4.2e-11,0.000172125,1.72125e-07,4.2e-08,4.2e-11
3,4096,sorted,13,0.014960833,4.1e-08,4.1e-11,0.009103875,9.103875e-06,0.000289917,0,0,0.000174458,1.74458e-07,4.1e-08,4.1e-11
3,4096,sorted,14,0.01692875,0,0,0.00958575,9.58575e-06,0.00029875,4.1e-08,4.1e-11,0.000159125,1.59125e-07,4.2e-08,4.2e-11
3,4096,sorted,15,0.015167916,0,0,0.009064625,9.064625e-06,0.000280792,4.2e-08,4.2e-11,0.000162667,1.62667e-07,4.1e-08,4.1e-11
3,4096,sorted,16,0.017332916,0,0,0.009884542,9.884542e-06,0.000283375,4.1e-08,4.1e-11,0.000163,1.63e-07,4.2e-08,4.2e-11
3,4096,sorted,17,0.014971,4.2e-08,4.2e-11,0.009329917,9.329917e-06,0.00030025,4.1e-08,4.1e-11,0.000158917,1.58917e-07,0,0
3,4096,sorted,18,0.017098917,0,0,0.009631834,9.631834e-06,0.000274584,4.2e-08,4.2e-11,0.00016275,1.6275e-07,4.2e-08,4.2e-11
3,4096,sorted,19,0.015080125,4.2e-08,4.2e-11,0.009107375,9.107375e-06,0.000309792,0,0,0.000167667,1.67667e-07,0,0
3,4096,sorted,20,0.017043,0,0,0.009811084,9.811084e-06,0.000301958,4.2e-08,4.2e-11,0.000157709,1.57709e-07,4.2e-08,4.2e-11
4,8192,random,1,0.000847208,4.2e-08,4.2e-11,0.0001435,1.435e-07,0.001213,0,0,0.000181667,1.81667e-07,4.2e-08,4.2e-11
4,8192,random,2,0.000815083,4.2e-08,4.2e-11,0.000135208,1.35208e-07,0.00117725,4.2e-08,4.2e-11,0.000178291,1.78291e-07,0,0
4,8192,random,3,0.000832458,4.2e-08,4.2e-11,0.000140375,1.40375e-07,0.001156375,4.1e-08,4.1e-11,0.000179375,1.79375e-07,4.2e-08,4.2e-11
4,8192,random,4,0.000892333,4.2e-08,4.2e-11,0.000146834,1.46834e-07,0.001160208,0,0,0.000219709,2.19709e-07,4.2e-08,4.2e-11
4,8192,random,5,0.000840708,4.2e-08,4.2e-11,0.000139834,1.39834e-07,0.001160875,4.2e-08,4.2e-11,0.000200459,2.00459e-07,0,0
4,8192,random,6,0.000907625,0,0,0.000174584,1.74584e-07,0.001188417,4.2e-08,4.2e-11,0.000215416,2.15416e-07,4.1e-08,4.1e-11
4,8192,random,7,0.000801208,0,0,0.000139209,1.39209e-07,0.00118275,4.1e-08,4.1e-11,0.000185,1.85e-07,4.2e-08,4.2e-11
4,8192,random,8,0.000888167,4.1e-08,4.1e-11,0.000167584,1.67584e-07,0.00118875,4.2e-08,4.2e-11,0.000197834,1.97834e-07,4.1e-08,4.1e-11
