series_index,n,data_mode,cycle_index,bst_insert_total_s,bst_search_total_s,bst_search_per_op_s,bst_delete_total_s,bst_delete_per_op_s,avl_insert_total_s,avl_search_total_s,avl_search_per_op_s,avl_delete_total_s,avl_delete_per_op_s,array_search_total_s,array_search_per_op_s
9,262144,random,1,0.065420292,0,0,0.0007185,7.185e-07,0.073523333,4.2e-08,4.2e-11,0.000439916,4.39916e-07,4.1e-08,4.1e-11
9,262144,random,2,0.062736625,4.1e-08,4.1e-11,0.0011085,1.1085e-06,0.0759535,4.2e-08,4.2e-11,0.000699042,6.99042e-07,0,0
9,262144,random,3,0.071901167,0,0,0.001208583,1.208583e-06,0.075114833,4.2e-08,4.2e-11,0.000804791,8.04791e-07,4.1e-08,4.1e-11
9,262144,random,4,0.076439417,4.2e-08,4.2e-11,0.0011095,1.1095e-06,0.076087958,4.1e-08,4.1e-11,0.00053675,5.3675e-07,0,0
9,262144,random,5,0.068314542,0,0,0.001119625,1.119625e-06,0.077166709,4.2e-08,4.2e-11,0.00101625,1.01625e-06,4.1e-08,4.1e-11
9,262144,random,6,0.08113025,4.1e-08,4.1e-11,0.000744959,7.44959e-07,0.075307333,0,0,0.0006015,6.015e-07,4.1e-08,4.1e-11
9,262144,random,7,0.064636708,4.1e-08,4.1e-11,0.001071292,1.071292e-06,0.080441583,4.2e-08,4.2e-11,0.001090917,1.090917e-06,0,0
9,262144,random,8,0.071582958,4.2e-08,4.2e-11,0.001048958,1.048958e-06,0.077789125,0,0,0.000643667,6.43667e-07,4.2e-08,4.2e-11
9,262144,random,9,0.068725083,0,0,0.001167083,1.167083e-06,0.077723959,0,0,0.001270541,1.270541e-06,4.2e-08,4.2e-11
9,262144,random,10,0.0664135,4.1e-08,4.1e-11,0.000941917,9.41917e-07,0.078083708,0,0,0.000638584,6.38584e-07,4.1e-08,4.1e-11
9,262144,sorted,11,82.525743959,4.2e-08,4.2e-11,0.728281292,0.000728281292,0.031049291,0,0,0.001304791,1.304791e-06,4.2e-08,4.2e-11
9,262144,sorted,12,80.35928375,0,0,0.710210292,0.000710210292,0.035210292,0,0,0.0011265,1.1265e-06,4.1e-08,4.1e-11
9,262144,sorted,13,78.846005583,0,0,0.682838792,0.000682838792,0.039803542,4.2e-08,4.2e-11,0.0013255,1.3255e-06,4.1e-08,4.1e-11
9,262144,sorted,14,79.463804208,4.2e-08,4.2e-11,0.716283458,0.000716283458,0.037759167,0,0,0.001404,1.404e-06,4.2e-08,4.2e-11
9,262144,sorted,15,79.802111833,0,0,0.678122,0.000678122,0.038944292,4.1e-08,4.1e-11,0.001300625,1.300625e-06,4.2e-08,4.2e-11
9,262144,sorted,16,80.353843291,4.2e-08,4.2e-11,0.67649975,0.00067649975,0.034665375,4.2e-08,4.2e-11,0.00144975,1.44975e-06,4.2e-08,4.2e-11
9,262144,sorted,17,80.004682,0,0,0.744127792,0.000744127792,0.033155375,4.2e-08,4.2e-11,0.001335792,1.335792e-06,4.2e-08,4.2e-11
9,262144,sorted,18,80.493309041,4.2e-08,4.2e-11,0.677467333,0.000677467333,0.034312333,0,0,0.001344417,1.344417e-06,4.2e-08,4.2e-11
9,262144,sorted,19,79.188019917,4.1e-08,4.1e-11,0.670911583,0.000670911583,0.033682208,4.2e-08,4.2e-11,0.001254917,1.254917e-06,0,0
9,262144,sorted,20,181.511512875,0,0,0.668536542,0.000668536542,0.036075791,4.2e-08,4.2e-11,0.0013665,1.3665e-06,4.1e-08,4.1e-11
10,524288,random,1,0.1532555,4.1e-08,4.1e-11,0.001293834,1.293834e-06,0.199910458,4.2e-08,4.2e-11,0.001183375,1.183375e-06,0,0
10,524288,random,2,0.155116125,4.1e-08,4.1e-11,0.001373916,1.373916e-06,0.188786959,4.2e-08,4.2e-11,0.001172167,1.172167e-06,0,0
10,524288,random,3,0.177017916,4.2e-08,4.2e-11,0.001743,1.743e-06,0.197244208,4.1e-08,4.1e-11,0.001153625,1.153625e-06,0,0
10,524288,random,4,0.159190542,0,0,0.001546541,1.546541e-06,0.194429,4.1e-08,4.1e-11,0.001128584,1.128584e-06,4.2e-08,4.2e-11
10,524288,random,5,0.151697792,4.1e-08,4.1e-11,0.001414709,1.414709e-06,0.193928791,4.2e-08,4.2e-11,0.001184667,1.184667e-06,4.2e-08,4.2e-11
10,524288,random,6,0.150004292,4.1e-08,4.1e-11,0.001354625,1.354625e-06,0.19581125,0,0,0.001134,1.134e-06,4.1e-08,4.1e-11
10,524288,random,7,0.148234959,0,0,0.001301709,1.301709e-06,0.192782791,4.2e-08,4.2e-11,0.001312709,1.312709e-06,4.1e-08,4.1e-11
10,524288,random,8,0.154426792,4.2e-08,4.2e-11,0.001369,1.369e-06,0.192360375,0,0,0.001306917,1.306917e-06,4.2e-08,4.2e-11
10,524288,random,9,0.162286375,4.1e-08,4.1e-11,0.001453417,1.453417e-06,0.1930515,0,0,0.001211041,1.211041e-06,4.1e-08,4.1e-11
10,524288,random,10,0.154764042,0,0,0.001431875,1.431875e-06,0.179123458,4.2e-08,4.2e-11,0.001279334,1.279334e-06,4.2e-08,4.2e-11
10,524288,sorted,11,502.02582375,4.1e-08,4.1e-11,1.41145775,0.00141145775,0.091301,4.2e-08,4.2e-11,0.001782083,1.782083e-06,0,0
10,524288,sorted,12,1205.223326625,0,0,1.401468958,0.001401468958,0.073468042,4.1e-08,4.1e-11,0.00161675,1.61675e-06,4.2e-08,4.2e-11
10,524288,sorted,13,370.671565666,4.2e-08,4.2e-11,1.62763625,0.00162763625,0.068283375,0,0,0.002825,2.825e-06,4.2e-08,4.2e-11
10,524288,sorted,14,323.915455916,0,0,1.348439959,0.001348439959,0.091980708,4.2e-08,4.2e-11,0.001827792,1.827792e-06,4.1e-08,4.1e-11
10,524288,sorted,15,351.450432958,4.2e-08,4.2e-11,1.347021875,0.001347021875,0.091551334,4.2e-08,4.2e-11,0.001758334,1.758334e-06,0,0
10,524288,sorted,16,2180.967915042,4.2e-08,4.2e-11,1.26604475,0.00126604475,0.092032416,4.1e-08,4.1e-11,0.001721459,1.721459e-06,0,0
10,524288,sorted,17,1790.069934375,4.1e-08,4.1e-11,1.37902825,0.00137902825,0.093829917,4.2e-08,4.2e-11,0.001907334,1.907334e-06,4.1e-08,4.1e-11
10,524288,sorted,18,318.950665209,0,0,1.324146042,0.001324146042,0.091924292,4.1e-08,4.1e-11,0.001729083,1.729083e-06,4.2e-08,4.2e-11
10,524288,sorted,19,312.494831333,4.2e-08,4.2e-11,1.357410959,0.001357410959,0.092541209,4.1e-08,4.1e-11,0.001770166,1.770166e-06,0,0
10,524288,sorted,20,324.867542833,4.1e-08,4.1e-11,1.371849125,0.001371849125,0.089095542,4.2e-08,4.2e-11,0.001704333,1.704333e-06,0,0
